proba_HAP,proba_Renovasc,proba_PPGL,proba_HTAe,groupe,name
13.911,13.907,0.781,74.244,fc_1_0 / hdl_h_0 / mdrd_0 / ttt_hta_alphab_0,G1541
4.303,18.091,1.27,76.691,hdl_f_0 / ka_3_1 / nb_ttt_2_1 / ttt_hta_da_1,G1542
11.415,16.853,1.296,74.144,age_2_0 / atcd_cv_1 / fc_2_0 / ttt_hta_antialdo_0,G1543
16.961,16.151,0.969,69.534,fc_1_0 / mdrd_0 / pad_3_0 / ttt_hta_ic_1,G1544
4.243,15.233,1.628,80.927,atcd_cv_1 / hdl_f_0 / tabac_actif_1 / ttt_hta_ic_0,G1545
NA,13.794,NA,77.554,age_3_1 / hdl_h_0 / ldl_1_0 / ttt_hta_vasodil_0,G1546
13.521,16.064,1.07,71.15,atcd_cv_1 / hdl_h_0 / hta_nc_0 / pad_2_0,G1547
8.195,20.699,0.981,74.75,atcd_cv_1 / imc_2_0 / ttt_hta_alphab_0 / ttt_hta_bb_1,G1548
10.121,16.539,1.3,73.487,atcd_cv_1 / taille_2_0 / ttt_hta_antialdo_0 / ttt_hta_thiazide_0,G1549
9.957,18.192,1.275,72.523,atcd_cv_1 / hdl_h_0 / pad_1_0,G1550
10.38,15.786,0.256,76.636,atcd_cv_1 / cephalees_0 / pas_max_2_0 / ttt_hta_bb_1,G1551
10.002,21.061,1.214,71.711,hta_nc_0 / pad_3_0 / pas_3_1 / ttt_hta_da_1,G1552
12.059,19.177,1.727,67.968,imc_1_0 / nb_ttt_2_1 / tabac_actif_1 / taille_1_1,G1553
8.766,22.267,3.252,71.622,heredite_0 / imc_1_0 / ttt_statine_1,G1554
11.008,18.119,1.165,72.062,htar_0 / mdrd_0 / nb_ttt_2_1 / pad_1_0,G1555
8.597,20.019,1.362,73.651,atcd_cv_1 / pad_1_0 / ttt_statine_1,G1556
9.505,18.87,3.432,70.805,diabete_0 / imc_1_0 / ttt_hta_bsra_0 / ttt_statine_1,G1557
11.729,17.794,1.372,69.006,imc_1_0 / sueurs_0 / tabac_actif_1 / ttt_hta_ic_1,G1558
NA,16.224,NA,75.552,age_3_1 / nb_ttt_2_1 / sueurs_0 / ttt_statine_1,G1559
10.246,14.227,0.881,74.174,atcd_intolerance_ttt_hta_0 / ttt_hta_central_0 / ttt_hta_vasodil_1,G1560
6.579,21.258,1.502,73.953,imc_1_0 / ka_1_1 / mdrd_0 / palpitations_0,G1561
NA,17.991,NA,77.533,age_3_1 / imc_2_0 / mdrd_0,G1562
11.013,20.86,1.01,70.964,anciennete_hta_1_0 / ldl_2_0 / mdrd_0 / nb_ttt_2_1,G1563
NA,17.875,NA,74.302,age_3_1 / mdrd_0 / pas_3_1,G1564
10.177,20.142,2.28,72.931,age_2_0 / taille_1_0 / ttt_hta_bb_1 / ttt_hta_da_1,G1565
7.389,20.445,1.359,75.804,atcd_cv_1 / atcd_intolerance_ttt_hta_0 / imc_2_0 / sexe_0,G1566
15.792,18.305,0.758,69.56,atcd_cv_1 / ldl_2_0 / pas_1_1 / ttt_hta_bb_1,G1567
9.415,17.775,2.449,73.946,fc_1_0 / heredite_0 / imc_1_0 / ttt_hta_bb_1,G1568
11.375,22.752,2.625,69.493,anciennete_hta_2_1 / heredite_0 / imc_1_0 / ttt_statine_1,G1569
11.685,14.027,1.21,72.057,nb_ttt_1_1 / sexe_1 / sport_0 / ttt_hta_da_1,G1570
12.129,16.633,0.568,73.316,fc_1_0 / sueurs_0 / ttt_hta_da_1,G1571
10.206,16.422,0.927,73.864,atcd_depression_1 / mdrd_0 / pas_3_0 / ttt_hta_ic_1,G1572
13.019,18.136,0.97,70.682,atcd_cv_1 / hdl_f_0 / nb_ttt_1_1 / ttt_hta_bb_1,G1573
10.357,18.562,0.754,72.621,diabete_0 / sport_0 / ttt_hta_bb_1 / ttt_hta_da_1,G1574
8.48,16.856,0.756,75.867,ka_2_1 / mdrd_0 / pas_3_1,G1575
7.348,13.873,0.416,79.201,ka_1_1 / pas_max_2_0 / ttt_hta_bb_1 / ttt_hta_da_1,G1576
8.291,13.487,0.58,78.8,pas_max_2_0 / ttt_hta_bb_1 / ttt_hta_da_1 / ttt_hta_epargneur_k_0,G1577
16.146,15.18,1.207,69.194,hdl_f_0 / heredite_0 / hta_nc_1 / mdrd_0,G1578
20.891,18.275,1.274,62.581,atcd_cv_1 / nb_ttt_1_1 / sport_0 / ttt_hta_thiazide_0,G1579
11.248,25.944,1.492,66.519,atcd_intolerance_ttt_hta_0 / imc_1_0 / mdrd_0 / nb_ttt_2_1,G1580
12.267,14.791,0.955,71.962,hdl_f_0 / pas_2_1 / ttt_hta_da_1,G1581
19.036,18.908,1.044,63.873,atcd_cv_1 / fc_1_0 / nb_ttt_1_1 / ttt_hta_thiazide_0,G1582
11.783,17.517,0.851,71.609,ldl_1_0 / nb_ttt_1_1 / pas_1_1 / ttt_hta_da_1,G1583
9.239,16.991,0.71,75.455,ka_2_1 / ldl_2_0 / mdrd_0 / pas_3_1,G1584
13.194,12.647,1.251,73.154,gaj_1 / palpitations_0 / pas_2_1 / ttt_hta_da_1,G1585
5.33,18.984,1.823,76.574,fc_2_0 / imc_1_0 / ka_3_1 / nb_ttt_2_1,G1586
13.063,23.618,1.342,67.638,atcd_cv_1 / heredite_0 / ttt_hta_bb_1 / ttt_statine_1,G1587
19.947,17.022,0.65,68.336,mdrd_0 / nb_ttt_1_1 / pas_3_1 / trigly_0,G1588
6.375,19.071,1.278,75.66,ka_2_1 / mdrd_0 / pad_1_0 / ttt_hta_ic_1,G1589
8.627,17.713,1.148,74.677,atcd_cv_1 / hdl_f_0 / ldl_2_0 / pad_1_0,G1590
10.513,14.954,1.646,73.293,ka_3_0 / perim_abdo_f_0 / taille_1_1 / ttt_statine_1,G1591
8.917,14.006,1.996,75.997,anciennete_hta_1_0 / atcd_saos_0 / hta_nc_1 / ttt_statine_1,G1592
7.596,14.046,1.585,78.766,anciennete_hta_1_0 / fc_2_0 / ldl_2_0 / ttt_statine_1,G1593
6.611,14.336,1.239,79.884,atcd_cv_1 / nb_ttt_2_0 / sexe_0 / sueurs_0,G1594
11.501,20.554,1.179,69.306,imc_1_0 / nb_ttt_2_1 / sueurs_0 / tabac_actif_1,G1595
19.334,13.398,2.967,66.436,sexe_1 / ttt_hta_bb_1 / ttt_hta_bsra_0 / ttt_statine_1,G1596
9.149,13.845,2.343,75.847,anciennete_hta_2_1 / imc_1_0 / pad_2_0 / trigly_1,G1597
14.134,16.61,0.988,71.833,cephalees_0 / fc_1_1 / mdrd_0 / ttt_hta_bb_1,G1598
NA,13.849,NA,77.283,age_3_1 / anciennete_hta_1_1 / hdl_h_0 / ttt_hta_bb_1,G1599
3.085,20.281,3.354,79.466,imc_1_0 / ka_3_1 / pad_2_0 / ttt_statine_1,G1600
13.547,16.814,0.005,70.756,pad_3_0 / pas_2_0 / ttt_hta_vasodil_1,G1601
11.992,19.607,0.851,70.365,atcd_cv_1 / fc_1_0 / nb_ttt_1_1 / tabac_actif_1,G1602
8.966,19.349,2.616,73.534,fc_2_0 / imc_1_0 / ttt_statine_1,G1603
25.152,14.744,0.653,66.149,anciennete_hta_2_1 / hdl_h_0 / pas_3_1 / ttt_statine_1,G1604
15.931,16.723,0.672,69.818,atcd_cv_1 / fc_2_0 / hdl_h_0 / trigly_0,G1605
9.233,21.344,1.681,71.295,imc_1_0 / mdrd_0 / pad_3_0 / pas_1_1,G1606
NA,13.15,NA,83.625,age_3_1 / atcd_intolerance_ttt_hta_0 / hdl_h_0 / ka_3_1,G1607
13.169,12.74,2.228,73.135,age_2_0 / ldl_1_1 / sexe_1 / ttt_hta_da_1,G1608
7.695,22.94,1.322,73.798,atcd_cv_1 / sexe_0 / tabac_actif_1,G1609
17.075,14.934,1.107,66.341,imc_1_0 / nb_ttt_2_1 / pad_2_1 / sueurs_0,G1610
12.283,18.252,2.136,69.118,hdl_h_0 / imc_1_0 / ka_3_0 / ttt_hta_bb_1,G1611
9.718,17.189,1.034,73.302,ka_2_1 / mdrd_0 / nb_ttt_1_1 / ttt_hta_ic_1,G1612
8.894,15.574,0.917,75.947,imc_1_0 / pas_3_1 / taille_1_1 / ttt_hta_thiazide_1,G1613
9.483,14.251,0.282,78.119,atcd_cv_1 / heredite_0 / pas_max_2_0 / sueurs_0,G1614
10.022,15.478,1.089,73.137,ka_2_1 / mdrd_0 / sexe_1 / ttt_hta_ic_1,G1615
12.12,20.715,1.073,70.942,atcd_cv_1 / hta_nc_0 / ttt_hta_bb_1 / ttt_statine_1,G1616
17.275,13.105,2.173,68.314,anciennete_hta_1_1 / atcd_cv_1 / trigly_1 / ttt_hta_thiazide_0,G1617
17.239,17.868,0.632,65.748,hdl_f_0 / ka_3_0 / pas_3_1 / ttt_hta_da_1,G1618
NA,16.421,NA,80.048,age_3_1 / ka_2_1 / nb_ttt_2_1 / ttt_statine_1,G1619
5.786,19.496,1.459,76.291,nb_ttt_2_1 / pad_1_0 / sexe_0 / ttt_hta_da_1,G1620
22.25,15.12,0.533,67.406,atcd_intolerance_ttt_hta_1 / hdl_h_0 / mdrd_0,G1621
10.603,18.26,0.711,74.201,atcd_cv_1 / hdl_f_0 / taille_1_0 / trigly_0,G1622
9.507,14.546,1.018,76.641,atcd_cv_1 / atcd_intolerance_ttt_hta_0 / tabac_actif_0 / taille_1_0,G1623
19.386,18.091,0.827,66.596,pas_3_1 / taille_2_0 / ttt_hta_ic_1 / ttt_statine_1,G1624
9.392,18.083,1.374,72.895,atcd_cv_1 / atcd_saos_0 / tabac_actif_1 / ttt_hta_vasodil_0,G1625
8.522,17.474,1.61,71.597,age_2_1 / imc_1_0 / mdrd_0 / taille_2_1,G1626
20.717,16.584,1.287,67.397,age_2_0 / mdrd_0 / trigly_0 / ttt_hta_ic_1,G1627
13.279,18.528,0.869,70.98,atcd_cv_1 / fc_1_0 / nb_ttt_1_1 / ttt_statine_1,G1628
10.169,20.526,1.073,73.427,atcd_cv_1 / taille_1_0 / ttt_statine_1,G1629
17.659,17.466,0.755,70.166,age_2_0 / atcd_intolerance_ttt_hta_1 / palpitations_0 / ttt_hta_da_1,G1630
19.287,15.334,1.332,69.073,age_2_0 / hdl_h_0 / mdrd_0 / sport_0,G1631
NA,14.055,NA,76.257,age_3_1 / atcd_saos_0 / hdl_h_0 / nb_ttt_2_1,G1632
NA,13.117,NA,71.178,age_3_1 / atcd_saos_1 / ttt_hta_bb_1 / ttt_hta_ic_1,G1633
9.65,19.151,3.084,71.831,imc_1_0 / pad_3_0 / pas_2_1 / ttt_statine_1,G1634
13.941,15.639,1.127,72.847,heredite_0 / ldl_1_0 / nb_ttt_2_1 / taille_1_0,G1635
6.537,10.795,2.002,81.326,atcd_cv_1 / hta_nc_0 / ldl_1_1 / nb_ttt_2_0,G1636
NA,13.947,NA,74.669,age_3_1 / atcd_intolerance_ttt_hta_0 / hdl_h_0 / ttt_hta_ic_1,G1637
NA,17.313,NA,75.527,age_3_1 / hdl_f_0 / ttt_hta_bb_1 / ttt_statine_1,G1638
16.668,17.263,0.898,68.022,hdl_h_0 / ldl_1_0 / mdrd_0,G1639
NA,14.542,NA,77.029,age_3_1 / hta_nc_0 / ttt_hta_bsra_0 / ttt_statine_1,G1640
8.589,15.599,2.153,76.623,anciennete_hta_2_0 / ttt_hta_antialdo_0 / ttt_hta_bb_1 / ttt_statine_1,G1641
7.058,16.678,1.279,77.988,anciennete_hta_2_0 / atcd_cv_1 / diabete_0 / sexe_0,G1642
NA,11.514,NA,75.747,age_3_1 / atcd_depression_0 / diabete_1 / hdl_h_0,G1643
6.192,16.839,1.717,76.487,pad_1_0 / trigly_1 / ttt_hta_da_1,G1644
7.798,20.916,1.557,72.34,age_2_1 / imc_1_0 / mdrd_0 / sport_0,G1645
17.2,11.764,1.427,67.479,imc_1_0 / nb_ttt_2_1 / pad_2_1 / ttt_statine_0,G1646
17.104,20.344,0.881,67.77,mdrd_0 / perim_abdo_h_0 / ttt_hta_bb_1 / ttt_hta_ic_1,G1647
12.793,17.38,1.093,71.769,hdl_h_0 / mdrd_0 / sexe_0 / taille_2_0,G1648
15.339,18.154,0.778,68.554,imc_2_0 / mdrd_0 / pas_3_1 / taille_1_1,G1649
10.952,21.832,0.816,70.641,anciennete_hta_1_0 / gaj_0 / mdrd_0 / nb_ttt_2_1,G1650
10.591,19.494,1.023,72.31,atcd_cv_1 / sport_1 / ttt_hta_bb_1,G1651
14,15.308,0.804,72.23,imc_2_0 / ldl_1_0 / pas_3_1 / trigly_1,G1652
NA,11.982,NA,72.908,age_3_1 / diabete_1 / ttt_hta_bsra_0 / ttt_statine_1,G1653
15.688,19.016,0.828,67.327,atcd_cv_1 / atcd_depression_0 / ttt_hta_bb_1 / ttt_hta_ic_1,G1654
20.293,18.187,0.905,68.269,age_2_0 / diabete_0 / mdrd_0 / nb_ttt_2_1,G1655
14.589,16.704,0.883,69.605,atcd_cv_1 / pas_max_2_1 / taille_2_0 / ttt_hta_thiazide_0,G1656
NA,11.651,NA,83.874,age_3_1 / fc_2_0 / hdl_h_0 / ka_2_1,G1657
12.3,17.009,0.768,71.095,hta_nc_1 / ldl_1_0 / palpitations_0 / ttt_hta_da_1,G1658
7.2,17.982,1.638,74.602,hta_nc_1 / pad_1_0 / ttt_hta_da_1,G1659
12.095,14.213,0.831,75.219,anciennete_hta_2_0 / atcd_intolerance_ttt_hta_1 / mdrd_0 / pad_3_0,G1660
13.866,12.771,0.904,72.048,anciennete_hta_1_1 / pas_2_1 / sexe_1 / ttt_hta_da_1,G1661
13.953,18.858,0.605,70.63,diabete_0 / imc_2_0 / mdrd_0 / pas_3_1,G1662
10.843,21.68,2.017,69.65,imc_1_0 / ldl_1_1 / mdrd_0 / nb_ttt_1_1,G1663
6.741,16.608,1.902,78.065,age_2_0 / atcd_cv_1 / atcd_depression_0 / ka_2_1,G1664
7.196,14.163,0.882,79.468,age_2_1 / atcd_depression_1 / mdrd_0 / pad_2_0,G1665
4.961,13.247,1.397,82.331,atcd_cv_1 / diabete_0 / nb_ttt_1_0 / sexe_0,G1666
9.383,19.706,1.277,72.877,atcd_cv_1 / hdl_f_0 / pad_1_0 / ttt_statine_1,G1667
12.289,14.69,0.755,73.035,cephalees_0 / pas_2_1 / sueurs_0 / ttt_hta_da_1,G1668
15.008,18.246,1.288,68.833,mdrd_0 / pad_3_0 / pas_3_1 / ttt_hta_thiazide_0,G1669
17.722,15.507,2.077,67.493,hdl_f_0 / ttt_hta_bb_1 / ttt_hta_thiazide_0 / ttt_statine_1,G1670
12.57,17.19,0.805,70.661,atcd_cv_1 / cephalees_0 / hta_nc_1 / tabac_actif_1,G1671
11.367,19.054,1.343,71.071,atcd_cv_1 / ka_1_1 / ttt_hta_ic_1 / ttt_statine_1,G1672
14.84,15.136,0.005,70.033,atcd_depression_0 / atcd_intolerance_ttt_hta_0 / htar_0 / ttt_hta_vasodil_1,G1673
11.178,18.765,1.095,71.996,atcd_cv_1 / hdl_f_0 / imc_2_0 / ldl_2_0,G1674
NA,19.603,NA,76.31,age_3_1 / heredite_0 / imc_2_0 / mdrd_0,G1675
NA,14.151,NA,75.15,age_3_1 / hdl_h_0 / ttt_hta_bsra_1 / ttt_hta_ic_1,G1676
NA,7.938,NA,78.437,age_3_1 / imc_1_1 / pas_3_1 / ttt_hta_bsra_0,G1677
26.061,17.746,1.093,59.052,mdrd_0 / nb_ttt_1_1 / sueurs_0 / ttt_hta_bsra_0,G1678
12.226,18.036,2.205,70.642,atcd_cv_1 / diabete_1 / imc_2_0,G1679
15.929,16.082,1.055,70.761,diabete_1 / mdrd_0 / pas_3_1 / taille_1_0,G1680
12.122,18.274,1.042,71.665,atcd_cv_1 / atcd_intolerance_ttt_hta_0 / fc_1_0 / ttt_statine_1,G1681
9.084,17.29,1.581,72.739,anciennete_hta_1_0 / imc_1_0 / nb_ttt_1_1 / sueurs_0,G1682
8.923,13.237,0.336,78.555,atcd_cv_1 / hdl_f_0 / pas_max_2_0 / ttt_hta_antialdo_0,G1683
8.441,17.501,1.6,76.344,htar_0 / perim_abdo_h_0 / ttt_hta_bb_1 / ttt_hta_da_1,G1684
NA,10.522,NA,80.232,age_3_1 / fc_2_0 / hdl_h_0 / sexe_1,G1685
13.152,18.317,0.879,71.546,ldl_1_0 / mdrd_0 / nb_ttt_2_1 / ttt_hta_central_0,G1686
15.036,18.917,1.537,66.832,hdl_h_0 / htar_0 / imc_1_0 / nb_ttt_2_1,G1687
10.831,16.136,1.959,74.416,fc_2_0 / tabac_actif_1 / taille_2_0 / ttt_statine_1,G1688
15.9,13.528,0.698,72.167,atcd_intolerance_ttt_hta_0 / ldl_2_0 / palpitations_0 / ttt_hta_vasodil_1,G1689
20.142,11.687,1.385,69.262,pas_3_1 / ttt_hta_bb_1 / ttt_hta_bsra_0,G1690
10.336,18.1,2.358,70.598,imc_1_0 / nb_ttt_1_1 / tabac_actif_1,G1691
11.25,16.459,0.005,72.836,atcd_depression_0 / pad_3_0 / ttt_hta_antialdo_0 / ttt_hta_vasodil_1,G1692
13.987,19.275,1.569,67.865,atcd_cv_1 / ttt_hta_bb_1 / ttt_hta_epargneur_k_0 / ttt_hta_thiazide_0,G1693
7.495,17.518,0.942,75.747,fc_2_0 / pad_1_0 / ttt_hta_da_1,G1694
16.163,19.775,0.85,68.553,mdrd_0 / nb_ttt_2_1 / pad_3_0 / pas_3_1,G1695
7.884,14.404,1.241,77.718,anciennete_hta_1_0 / ldl_1_0 / ttt_hta_bb_1 / ttt_hta_epargneur_k_0,G1696
6.136,20.095,2.1,76.158,atcd_cv_1 / heredite_0 / ka_1_1 / pad_1_0,G1697
14.958,16.407,0.005,69.761,atcd_depression_0 / pad_3_0 / ttt_hta_vasodil_1,G1698
24.444,17.638,0.603,62.099,ka_3_0 / mdrd_0 / pas_3_1 / ttt_hta_ic_1,G1699
22.941,16.736,1.288,69.934,age_2_0 / fc_2_0 / pas_3_1 / ttt_statine_1,G1700
4.77,18.403,2.242,78.536,age_2_0 / atcd_cv_1 / ka_3_1,G1701
12.221,22.903,2.459,66.085,imc_1_0 / ttt_hta_ic_1 / ttt_hta_vasodil_0 / ttt_statine_1,G1702
12.294,15.752,1.229,73.265,atcd_cv_1 / fc_1_0 / htar_0 / ldl_2_0,G1703
15.248,14.197,1.032,68.451,hdl_f_0 / hta_nc_1 / ka_3_0 / ttt_hta_da_1,G1704
9.477,16.895,1.516,73.535,atcd_intolerance_ttt_hta_0 / hdl_h_0 / mdrd_0 / pad_1_0,G1705
11.405,18.492,1.654,69.549,atcd_cv_1 / tabac_actif_1 / ttt_hta_thiazide_0,G1706
21.038,21.374,1.133,60.139,atcd_cv_1 / nb_ttt_2_1 / ttt_hta_bb_1 / ttt_hta_thiazide_0,G1707
16.619,16.01,0.363,69.71,fc_1_0 / ka_3_0 / pas_1_1 / ttt_hta_da_1,G1708
3.805,18.335,1.505,78.832,atcd_cv_1 / imc_2_0 / ka_3_1 / sexe_1,G1709
6.159,15.736,3.622,77.911,nb_ttt_2_0 / tabac_actif_1 / ttt_hta_bb_1 / ttt_statine_1,G1710
12.761,18.657,0.749,71.713,anciennete_hta_1_1 / atcd_cv_1 / taille_2_0 / ttt_hta_bb_1,G1711
16.003,18.897,1.081,66.145,imc_1_0 / pad_2_0 / pas_3_1 / ttt_hta_ic_1,G1712
11.747,17.473,1.163,72.149,imc_1_0 / ldl_1_1 / pas_3_1 / ttt_hta_bb_1,G1713
8.559,17.887,1.691,73.507,atcd_cv_1 / pad_1_0 / ttt_hta_thiazide_0,G1714
5.785,19.731,1.414,78.36,atcd_cv_1 / imc_2_0 / pas_1_0 / sexe_0,G1715
12.567,20.339,1.309,70.257,heredite_0 / ldl_1_0 / mdrd_0 / taille_2_0,G1716
13.595,20.937,0.659,69.34,atcd_cv_1 / cephalees_0 / imc_2_0 / nb_ttt_2_1,G1717
12.774,15.995,0.005,71.459,atcd_intolerance_ttt_hta_0 / pas_2_0 / ttt_hta_epargneur_k_0 / ttt_hta_vasodil_1,G1718
17.683,15.039,0.795,68.351,heredite_0 / mdrd_0 / pas_3_1 / sexe_1,G1719
16.095,14.665,0.567,72.024,hdl_h_0 / mdrd_0 / pas_max_1_1 / taille_2_0,G1720
9.253,20.367,1.799,70.372,imc_1_0 / mdrd_0 / taille_1_1,G1721
9.849,22.65,3.038,69.353,hdl_h_0 / imc_1_0 / ttt_statine_1,G1722
NA,22.466,NA,74.947,age_3_1 / imc_1_0 / mdrd_0 / pas_2_1,G1723
10.642,18.027,2.172,68.497,imc_1_0 / mdrd_0 / taille_2_1 / ttt_hta_thiazide_0,G1724
10.094,15.78,0.859,76.226,atcd_cv_1 / gaj_0 / sport_1 / sueurs_0,G1725
3.491,16.398,2.109,81.455,anciennete_hta_1_0 / imc_1_0 / tabac_actif_1 / ttt_hta_bsra_1,G1726
8.805,17.14,0.933,75.988,atcd_cv_1 / cephalees_0 / sport_1 / taille_2_0,G1727
5.432,21.546,1.638,77.415,atcd_cv_1 / imc_2_0 / ka_2_1 / ttt_statine_1,G1728
11.936,15.994,1.18,72.344,atcd_cv_1 / hdl_h_0 / palpitations_0 / ttt_hta_antialdo_0,G1729
9.64,19.958,1.431,71.2,anciennete_hta_1_0 / fc_2_0 / imc_1_0 / nb_ttt_2_1,G1730
2.977,17.814,2.539,80.518,imc_1_0 / ka_3_1 / nb_ttt_1_1 / pad_1_0,G1731
9.125,15.886,2.028,74.122,heredite_0 / mdrd_0 / pad_1_0 / sexe_1,G1732
7.077,20.847,0.218,77.029,atcd_cv_1 / palpitations_0 / perim_abdo_h_0 / ttt_statine_1,G1733
10.562,19.105,1.158,73.074,atcd_cv_1 / hdl_f_0 / sexe_0,G1734
9.411,17.828,0.867,75.649,atcd_cv_1 / hdl_f_0 / hta_nc_0 / taille_1_0,G1735
18.174,15.398,0.704,71.446,fc_2_0 / palpitations_0 / pas_3_1 / ttt_statine_1,G1736
16.231,18.123,1.119,66.6,mdrd_0 / taille_1_0 / ttt_hta_ic_1 / ttt_hta_thiazide_0,G1737
9.941,17.612,0.914,73.217,ka_2_1 / mdrd_0 / nb_ttt_2_1 / ttt_hta_ic_1,G1738
8.843,17.997,1.047,74.539,atcd_cv_1 / hta_nc_1 / pad_1_0 / palpitations_0,G1739
14.085,18.261,0.811,68.309,anciennete_hta_2_0 / atcd_cv_1 / fc_1_0 / ttt_hta_ic_1,G1740
5.319,21.052,1.795,77.311,fc_1_0 / imc_1_0 / ka_2_1 / mdrd_0,G1741
4.394,19.23,2.133,80.044,age_2_0 / atcd_cv_1 / ka_2_1 / pad_1_0,G1742
11.348,14.92,0.67,72.76,atcd_cv_1 / fc_1_0 / heredite_1 / tabac_actif_1,G1743
16.974,12.328,0.578,71.706,atcd_cv_1 / fc_1_0 / hta_nc_1 / imc_1_1,G1744
9.783,17.518,1.166,74.705,mdrd_0 / pad_1_0 / pas_1_1,G1745
11.88,17.243,1.618,73.388,age_2_0 / atcd_cv_1 / atcd_intolerance_ttt_hta_0 / taille_2_0,G1746
3.972,20.345,1.373,80.881,atcd_cv_1 / imc_2_0 / ka_2_1 / taille_1_0,G1747
10.246,18.966,0.941,73.618,atcd_cv_1 / pad_1_0 / pas_1_1,G1748
17.711,15.156,1.611,67.451,atcd_cv_1 / diabete_1 / hdl_h_0 / nb_ttt_1_1,G1749
9.209,19.273,1.359,74.87,fc_2_0 / perim_abdo_h_0 / ttt_hta_bb_1 / ttt_hta_da_1,G1750
12.486,16.923,1.482,73.63,age_2_0 / ldl_1_0 / mdrd_0 / ttt_hta_central_0,G1751
11.219,14.742,0.507,74.435,fc_1_0 / hdl_f_0 / pas_3_0 / ttt_hta_da_1,G1752
14.989,17.645,0.902,70.784,hta_nc_0 / mdrd_0 / pas_1_1 / ttt_hta_bb_1,G1753
10.558,15.7,2.313,75.129,age_2_0 / anciennete_hta_1_0 / hdl_f_0 / ttt_statine_1,G1754
17.384,16.318,0.786,68.174,hdl_f_0 / hta_nc_1 / ldl_1_0 / mdrd_0,G1755
15.875,14.446,1.115,73.033,age_2_0 / atcd_cv_1 / fc_1_0 / tabac_actif_0,G1756
9.195,11.299,0.398,80.322,ldl_1_0 / mdrd_0 / pas_max_1_0,G1757
8.939,15.852,1.175,74.884,ka_3_0 / pad_2_0 / taille_1_0 / ttt_hta_da_1,G1758
12.797,18.636,1.435,67.956,atcd_cv_1 / hdl_f_0 / tabac_actif_1 / ttt_hta_thiazide_0,G1759
6.825,14.638,1.219,76.591,age_2_1 / anciennete_hta_1_0 / mdrd_0 / ttt_hta_thiazide_0,G1760
NA,17.103,NA,75.723,age_3_1 / hta_nc_1 / tabac_actif_1 / ttt_statine_1,G1761
6.411,21.97,1.29,76.523,imc_1_0 / ldl_2_0 / mdrd_0 / ttt_hta_thiazide_1,G1762
NA,14.591,NA,78.021,age_3_1 / anciennete_hta_2_0 / nb_ttt_1_1 / pas_3_1,G1763
6.503,21.205,0.26,77.307,atcd_cv_1 / pas_2_0 / perim_abdo_h_0 / ttt_statine_1,G1764
12.09,16.689,1.115,70.384,ldl_1_0 / sexe_1 / ttt_hta_da_1,G1765
13.781,16.254,1.135,70.225,atcd_cv_1 / fc_1_0 / ttt_hta_thiazide_0,G1766
13.329,11.925,0.309,75.211,mdrd_0 / palpitations_0 / pas_max_1_0 / ttt_hta_ic_1,G1767
10.297,21.123,1.25,70.536,anciennete_hta_1_0 / mdrd_0 / nb_ttt_1_1,G1768
22.632,13.46,0.841,67.856,hdl_h_0 / pas_3_1 / ttt_hta_da_0 / ttt_statine_1,G1769
14.837,14.789,1.243,70.584,atcd_intolerance_ttt_hta_0 / hdl_h_0 / heredite_0 / mdrd_0,G1770
6.086,21.542,3.026,74.935,cephalees_0 / imc_1_0 / pad_1_0 / ttt_statine_1,G1771
7.023,21.601,2.387,74.49,diabete_0 / imc_1_0 / sexe_0 / ttt_statine_1,G1772
20.291,13.368,1.362,67.919,anciennete_hta_1_1 / diabete_1 / hdl_h_0 / mdrd_0,G1773
12.568,14.969,1.047,72.926,age_2_1 / fc_1_1 / mdrd_0 / ttt_hta_bb_1,G1774
NA,12.112,NA,74.053,age_3_1 / pad_1_1 / ttt_hta_bsra_0 / ttt_statine_1,G1775
21.123,15.855,0.93,63.583,mdrd_0 / palpitations_0 / ttt_hta_bsra_0 / ttt_hta_ic_1,G1776
7.637,17.282,0.923,77.811,atcd_cv_1 / cephalees_0 / sexe_0 / ttt_hta_alphab_0,G1777
16.45,16.52,0.714,69.837,atcd_cv_1 / fc_1_0 / hdl_f_0 / pas_1_1,G1778
NA,11.399,NA,80.994,age_3_1 / anciennete_hta_2_0 / pad_1_1 / ttt_hta_bb_1,G1779
6.867,20.233,1.542,76.28,anciennete_hta_2_0 / mdrd_0 / pad_1_0 / ttt_hta_bb_1,G1780
14.087,15.919,1.352,72.157,anciennete_hta_2_0 / fc_1_0 / nb_ttt_2_1 / ttt_statine_1,G1781
8.538,16.398,1.807,74.392,mdrd_0 / pad_1_0 / ttt_hta_thiazide_0,G1782
12.796,18.356,2.054,69.556,anciennete_hta_2_1 / imc_1_0 / nb_ttt_2_1 / trigly_1,G1783
7.101,18.158,3.284,75.094,imc_1_0 / taille_2_0 / trigly_1 / ttt_hta_bb_1,G1784
7.7,17.771,0.803,75.709,cephalees_0 / fc_2_0 / pad_1_0 / ttt_hta_da_1,G1785
10.922,16.079,1.759,72.576,anciennete_hta_1_1 / atcd_cv_1 / pad_1_0 / ttt_hta_thiazide_0,G1786
16.507,15.046,0.005,71.04,fc_2_0 / htar_0 / ttt_hta_vasodil_1,G1787
5.894,18.305,0.837,77.446,diabete_0 / pad_1_0 / sueurs_0 / ttt_hta_da_1,G1788
4.68,21.236,1.965,76.569,imc_1_0 / ka_2_1 / mdrd_0,G1789
